"","gene_id","log2foldchange","log2CPM","pvalue","FDR","change","logP"
"EMC8","EMC8",0.935083429828216,5.22848149839167,8.05099091648637e-06,3.96008689464003e-05,"not",5.09415066334924
"CCND2","CCND2",2.89536555499865,8.36361926667291,8.05663109399709e-06,3.96173181894898e-05,"up",5.0938465218604
"PSCA","PSCA",-2.72669706410224,-0.546079204899422,8.09781953386475e-06,3.97993991626274e-05,"down",5.09163190604625
"SSR1","SSR1",0.756959870920717,8.13041917486528,8.09833852915062e-06,3.97993991626274e-05,"not",5.09160407268132
"NFASC","NFASC",-2.09899218607106,4.58841063647446,8.10057895445653e-06,3.97993991626274e-05,"down",5.09148394065958
"USP16","USP16",0.686186851129511,5.61762519574892,8.14129571503944e-06,3.9988060792202e-05,"not",5.08930647015873
"GUCD1","GUCD1",-0.83902686887906,5.8364684724545,8.18610063571025e-06,4.01966893765453e-05,"not",5.08692292066497
"CD300LG","CD300LG",-2.96478426892125,-1.05165278654935,8.19877920266697e-06,4.02474922167905e-05,"down",5.08625080920355
"AIG1","AIG1",-1.4806778065603,4.77884065783473,8.20808664974427e-06,4.02710522626316e-05,"not",5.08575806752135
"TIAF1","TIAF1",-1.14881731065608,0.547376142283886,8.20824635222691e-06,4.02710522626316e-05,"not",5.08574961765536
"PTCD3","PTCD3",0.825162481785549,6.26250325579481,8.25388139133064e-06,4.04834347377516e-05,"not",5.08334177624619
"MYB","MYB",3.67943098756295,0.73996284103052,8.27925422333749e-06,4.05963431724036e-05,"up",5.08200878172675
"ARCN1","ARCN1",0.813130106442304,7.70159139151808,8.28815182339199e-06,4.06284260547241e-05,"not",5.08154230206585
"RNF2","RNF2",0.868384779937947,5.26588184476054,8.29560174002169e-06,4.06533962011003e-05,"not",5.08115210597566
"GAREM1","GAREM1",-2.900670001856,3.15102240018685,8.3060947754851e-06,4.0693261030947e-05,"down",5.08060311774392
"SMARCB1","SMARCB1",-2.102362071273,4.04955337748364,8.31782408754577e-06,4.07391582828846e-05,"down",5.07999026870492
"SAR1A","SAR1A",0.738514129791162,6.84795618435975,8.34752517367574e-06,4.0873026921616e-05,"not",5.07844226256745
"IAH1","IAH1",1.14687546232568,5.80058960116358,8.37401828044922e-06,4.09911164338018e-05,"not",5.0770660953806
