Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TARGET.52.PAUDPV.01	0.0257054026634799	0	0.00348370784667293	0.159669130034786	0	0.163159277169364	0.054326178347297	0.0467256163483662	0.00608935535241319	0.0301293754990682	0	0.0422780492627623	0.0227189698019534	0	0.0798767698123673	0.337080229476496	0.0287579383849733	0	0	0	0	0	0.073	0.133973317444998	1.03778780362239
TARGET.52.PASNED.01	0.0492115576810598	0	0.00148420958024736	0.0858443011660482	0	0.310940682216525	0.0382387498938877	0	0	0.0525030100595077	0	0.00718950664337155	0.0291012140213594	0	0.0352580312714586	0.306173595708225	0	0.0552681842609189	0.0287869574973909	0	0	0	0.504	0.0153304033203828	1.0812097008636
TARGET.52.PAJMBW.01	0.0130147583790193	0	0.00457453661920533	0.219132568897373	0	0.022575177907662	0.117947800121918	0.00761450189176159	0.012797661504981	0.204892609244168	0	0.0989437502878405	0.0304659037948668	0.0107597030357513	0.0475447187387884	0.10502862514873	0.00970809978811675	0	0.0949995846398184	0	0	0	0.002	0.414741634389296	0.916276873109898
TARGET.52.PATFXW.01	0.0781699210577275	0	0.0130263193872777	0.0447916876404151	0	0.203029148571647	0	0.0270235115630418	0.0385140320364486	0	0.00219185623871722	0.0110561235229621	0.00185001613325466	0.0192201405549599	0.0185734359702377	0.458117791895345	0	0.0306382550202399	0.0537977604077257	0	0	0	0.275	0.0512827861115506	1.06761585579897
TARGET.52.PAJNER.01	0.0197274678595315	0	0	0.00529838936454039	0	0.160730761216182	0.0286688604394783	0	0.000543364232574928	0.0195941380437886	0	0.0429019798811961	0.0650117427995117	0	0.0540085161555795	0.524325863288937	0.059406777187718	0	0.0197821395309621	0	0	0	0.024	0.196569499753666	1.01556449954057
TARGET.52.PASCDH.01	0.00273136955179326	0	0.00345153119942017	0.176890359925879	0	0.071759892891854	0.0581475314890803	0.0355680156046434	0	0.141940890565783	0	0.0525844710862105	0	0.134648724013837	0.0474121813945886	0.246793356237345	0	0	0	0.0280716760395669	0	0	0.00600000000000001	0.311117347576657	0.963939052376892
TARGET.52.PAUNPA.01	0.14167700362376	0	0.0153428785602437	0.108018006256084	0	0.11849365708879	0.0374451968869806	0.0284197354674686	0.0119314131458787	0.0216982451729372	0	0.0276057160906987	0	0.15943321368796	0.0510130990995592	0.267327908002675	0	0	0.0115939269169654	0	0	0	0.018	0.228757688551411	0.993086018209516
TARGET.52.PARRCL.01	0	0.00632930809158468	0.000836497337633959	0.0858211702602528	0	0.133999721501649	0.0412143974696389	0.00544186810523972	0.002061023882661	0.0200631563971735	0	0.0444206456260098	0.160642323102522	0.18186321607313	0.0738113414057053	0.219658566580437	0.0171514367128866	0	0.00668532745347516	0	0	0	0	0.582132224625517	0.825094127257018
TARGET.52.PAUGYZ.01	0.057075441517923	0	0.00064595351033322	0.0987762831681901	0	0.214431826480596	0.0221302936961969	0.00971231162036226	0.0324728598944793	0.0451238267887789	0	0.0237642953203234	0	0.0163808454785267	0.0580543199432364	0.34937096193795	0	0	0.072060780643104	0	0	0	0.087	0.121140050796602	1.03675238804951
TARGET.52.PAJLRA.01	0	0.0105066701611738	0.00360306300348663	0	0	0.215517413154616	0.00471692337269949	0	0.00416354515553996	0	0.118987054958364	0.0181615207985446	0.0575080792784014	0.249118088616265	0.000589065680908355	0.158116231237905	0.00485128060921911	0	0.104989675114176	0	0	0.0491713888587004	0.682	-0.00253622554730705	1.09266402113232
TARGET.52.PARECB.01	0.036715115908943	0	0	0.138220370024451	0	0.160457231330361	0.0990289167935104	0.058892219124967	0.0203994138835009	0.0275496027674987	0	0	0.0215619875638231	0	0.139717456329265	0.265935023270743	0.022421893785271	0	0.00910076921766484	0	0	0	0.07	0.13606802752424	1.0374262829198
TARGET.52.PAJLWM.01	0.0358420780290395	0	0	0	0	0.152039275428539	0	0	0.117521315598135	0	0.00413775898856707	0.0190182009793037	0.0408067713922042	0	0.010625409205713	0.569771452058701	0	0.00678883129183348	0.0292514606781651	0	0	0.0141974463497987	0.224	0.0648604779349067	1.07825607342648
TARGET.52.PASRHU.01	0.0168636611232768	0	0.00105986592102384	0.41076276234747	0	0.0976089283929518	0.10850841902486	0.0308301158488132	0.0111931728968266	0.0406461461841688	0	0.0147252840001339	0.0245344954273713	0.0280971384071021	0.035728050510589	0.121252909045932	0.0141344096834817	0	0	0.0174115851489004	0.0266430560370989	0	0.131	0.0953941002758959	1.07929460480655
TARGET.52.PATBLF.01	0	0.0417146542946494	0	0.143382965105681	0	0	0.00206655702134331	0.0237013634434898	0.053706320283861	0.118762700323089	0	0.0532265419998359	0.0206483467002578	0.151851465930838	0.0686241383961243	0.276685514837735	0.0168241227220486	0	0.0258202381656179	0	0	0.00298507077542907	0.001	0.460708036283302	0.886734330998829
TARGET.52.PADWRZ.01	0.107509163353699	0	0	0.0873275764608244	0	0.273833939862616	0.101102966980123	0.0388775609792178	0	0	0	0.00568440918319119	0.0330744706373788	0.0193187758904014	0.049408370895973	0.270490557701408	0	0.00846565864083692	0	0.00248118268016134	0.002425366734169	0	0.53	0.0125156055905132	1.08041612181915
TARGET.52.PAWFWK.01	0.0367226569104911	0	0.00282464902508475	0.13349110500414	0	0.0983334983052739	0.0404183416933263	0.0578851163029638	0.0396908399854036	0.0475364739694963	0	0.0284857092031275	0	0.23654134474214	0.0540522100101853	0.176996578950131	0	0	0.0470214758982361	0	0	0	0.404	0.0294143975902413	1.08092919810172
TARGET.52.PAEHIP.01	0.00329067603557935	0	0.00385482271149041	0.141737774126191	0	0.0788254172986192	0.175608519691609	0.0111316877821006	0	0.161037965850387	0	0.00478282389891985	0	0.0368261098316369	0.0389310793483823	0.308322857509033	0	0.00394612800945461	0	0.0187131674693889	0.00901418716577102	0.00397678327143729	0.00900000000000001	0.267670264955647	0.97908275715644
TARGET.52.PASGGN.01	0.00458634868425059	0.00426144488534326	0	0.208993900551524	0	0.0340174154233113	0.0926559164961042	0.0411494371542387	0.0135280615291309	0	0.0317604310773745	0	0.0975161996294631	0.123156659799428	0.0407631846497981	0.293360219677723	0	0	0.0137461537239985	0	0	0.000504626718311555	0.01	0.263419869907825	0.977677219033649
TARGET.52.PAKLYZ.01	0.134993038835413	0	0	0.151165824174	0	0.168518843741738	0	0.013806345650772	0	0	0	0.0451515463466964	0.0491373713112193	0.261726068289623	0.00177900340988664	0.136380803539587	0	0	0	0.0177864062769875	0.0195547484240774	0	0.887	-0.0246818072787306	1.10791640561218
TARGET.52.PASVDP.01	0.00213866584012673	0	0.000962118415125531	0.399344974664457	0	0	0.0906376636361497	0.017765724773774	0.00437647306544574	0.0856925145536409	0	0.101915751093513	0	0.0434776789571898	0.0421926732927237	0.198349185765044	0.00343727187333842	0	0	0.00970930406947128	0	0	0.001	0.505095046730364	0.863345939966794
TARGET.52.PAUEKW.01	0.0574360352533453	0.0291481571940307	0	0.0628403860695291	0	0.0635287977343082	0.0356878879570928	0.0391520736983687	0.0127101024179176	0	0	0.0188726502657452	0.00262191508037166	0.0997429318726947	0.0521667924487345	0.312969994641334	0.188782013665076	0	0	0.0243402617014524	0	0	0.102	0.107775515532154	1.04344144123028
TARGET.52.PASABD.01	0.0119175954415993	0	0.0858717818128195	0.455001716959055	0	0	0.12871457071053	0	0.0680649211168378	0.0406116790261537	0	0.017204645829343	0.00262850453356236	0.00229715225612194	0.0302968887086705	0.13952007294838	0.0142015099952889	0	0.00366896066163814	0	0	0	0.005	0.334014240325872	0.959738009521269
TARGET.52.PAJMRB.01	0.0109903002009176	0	0.0542383216752885	0.408855221712037	0	0	0.159391259388094	0.0207501469896848	0.0356495601058576	0.0567810858211797	0	0	0	0	0.0452406273423173	0.168457215079729	0	0.0105222052141271	0.0260043450438491	0	0.00311971142691916	0	0.022	0.213916324081635	1.01329520743597
TARGET.52.PAJNFZ.01	0.00187704731571367	0	0.178920105718839	0.272147490311813	0	0	0.111586872771264	0.0106443407757481	0.0352823092901422	0.0338422432437395	0	0.00956835351709268	0	0	0.0933350598692742	0.225235761176113	0.0100345445610905	0	0	0.0175258714491693	0	0	0.00600000000000001	0.304427888408797	0.9648061277429
TARGET.52.PAJNFP.01	0.0687032031949995	0	0.00376207215492816	0.137444741850793	0	0.185626694775577	0.061079255562148	0.0287402504603979	0	0.0792802513295474	0	0.018947405151115	0.0402748042826076	0	0.040673267352691	0.302200591726415	0	0	0.00845387707010163	0	0.0248135850886789	0	0.219	0.0664780388514442	1.06121152042792
TARGET.52.PASWZZ.01	0.0545464855475468	0.00333476526024131	0	0	0	0.151538402645093	0	0	0.0121610137058976	0	0	0.037023930387983	0.129387529258449	0	0	0.461726912982143	0	0.0333942609336373	0.0869463205059914	0	0.0299403787730178	0	0.469	0.0197934652626924	1.08057388676149
TARGET.52.PASGCL.01	0.00486168899414402	0	0	0.0262126608949394	0	0.0593716724278152	0.00810074071772544	0	0.00296387769512486	0.00901719908241827	0.00568162751236086	0	0.109934865756229	0.508841315872008	0.0234411074686335	0.199053021229099	0	0	0	0.0167688198079862	0	0.0257514025415159	0.01	0.263613001506547	1.02467886348228
TARGET.52.PATXEE.01	0	0	0.00729711333143468	0.313185616463126	0	0	0.189793284936185	0.0186275962122878	0	0.121375413546857	0	0.0459450706810113	0	0.0151025162359115	0.0654243226356215	0.210035246029545	0	0	0.0130225435929746	0	0.000191276335045247	0	0.00600000000000001	0.31117393143873	0.968142185222138
TARGET.52.PAJPHJ.01	0.0182496986206852	0	0.0012552765857864	0	0	0.156434290316607	0	0.00721115769954674	0.0317441170895112	0	0.0585236609815644	0	0	0.27126679580447	0.00291663526735135	0.0141677943961035	0	0	0	0.0439616649851592	0	0.394268908253215	0.094	0.115655334529219	1.11402024243467
TARGET.52.PAKTCT.01	0.000819144257193634	0	0	0.210010958665027	0	0	0	0	0.0132531245916673	0	0	0.0207610141944871	0	0.035987617862902	0.00384805118533731	0.570975344329478	0	0.0550611653643383	0	0.0262911810888777	0.0550320145201629	0.00796038394052868	0.187	0.0768448693292366	1.07838256198322
TARGET.52.PASXNA.01	0.0096780665033075	0	0	0	0	0.245471220719865	0	0	0.0560860957667804	0	0.0407164389111289	0.00344529051415869	0.0752446241951377	0	0	0.549772207492921	0	0	0.0195860558967004	0	0	0	0.734	-0.00765350569423807	1.10982900779277
TARGET.52.PASYNF.01	0.0327180659854283	0	0	0.00922521510256718	0	0.114307666700611	0	0.0198383550670459	0	0	0	0.0405343956100408	0.121162892413524	0	0.0418910176001988	0.425235641204046	0.0616135209841356	0.0329087463979314	0	0.0786128019302562	0.021951681004215	0	0.069	0.137102952407651	1.03593234714184
TARGET.52.PATENH.01	0.0137176154812813	0	0.0725753642621699	0.0610855606245597	0	0.0906825975071785	0.0162783486261696	0.00501005894038013	0.00115114128171695	0.00577111540381125	0	0.0420387106780947	0.115630503924266	0	0.0402535787873734	0.403692721361448	0.106784137764637	0	0.0253285453569136	0	0	0	0.019	0.226627529491821	0.992803125073708
TARGET.52.PARZRH.01	0.060893414066664	0	0.000178330474328523	0.0895053843415924	0	0.19243215520707	0.00760639779124861	0.0472909577902832	0.0510212844798369	0	0	0.0253588765135263	0.0415948841984111	0.0624642746901704	0.0371469235975872	0.324646683347371	0.0475910844758107	0	0.0122693490260996	0	0	0	0.105	0.10580566503676	1.04365212630441
TARGET.52.PAKHTL.01	0.0560775496316585	0	0.00214589855296388	0.0164119483091313	0	0.131782052347809	0	0.0102633922031232	0.0240200576482497	0	0	0.033279334029468	0.0167727395621048	0.0138219993846571	0.0468921364566997	0.607952643086736	0	0	0	0.0025716092844429	0.0369212563128974	0.00108738319005956	0.638	0.00125814599736002	1.11302238236948
TARGET.52.PAVDPR.01	0.100231542467312	0	0	0.00532012203258606	0	0.251904319713341	0	0	0.0714514627115474	0	0.010017839206174	0.00413958295523371	0.0199354252205926	0.150443018065428	0.134207896981694	0.251641175559118	0	0	0	0.000707615086972321	0	0	0.154	0.08687961726448	1.06096992662859
TARGET.52.PASAMZ.01	0	0.00590684013661772	0	0.0190256009234969	0	0.237653523649852	0	0.0484363272534651	0.00958534598914593	0.0189030967732681	0	0	0.00440806357648537	0.19447270784442	0.0489995385272908	0.389675997718495	0	0	0	0.0229329576074629	0	0	0.0610000000000001	0.144527138514294	1.04517931326276
TARGET.52.PASZYE.01	0	0.0457867871139904	0	0.199443663232282	0	0.112217362251676	0.00246888813792662	0.0271224847930589	0	0.0651808136567032	0	0.0741392579431699	0	0	0.0501926769415368	0.392776549519191	0.00749261005732666	0	0	0.0231789063531379	0	0	0.001	0.471889798954137	0.880816868207809
TARGET.52.PAUHAZ.01	0	0.0204108357733375	0	0	0	0.0635969443858857	0.00603122823929074	0.000784204846155506	0.00853768513426675	0.0402273804030694	0.00122144529697123	0	0	0.41403134331119	0.00463553020317321	0.407271426289899	0.00136668802869987	0	0.0318852880880611	0	0	0	0	0.713180952251463	0.710653427915128
TARGET.52.PARPFY.01	0.133015177896333	0	0.10597063091424	0.060799877168144	0	0.0805811476541023	0.0100479521436682	0.0203738431187113	0.0495328766615409	0	0	0.0328308758467773	0.00641166745606638	0.148848612909672	0.0490106798433502	0.291590660306633	0.00739329768471715	0	0.00359270039604345	0	0	0	0.005	0.336584068122493	0.947431915099769
TARGET.52.PAUFVP.01	0.0642659041124163	0	0.0346216799180077	0.0470251423021478	0	0.187236841428982	0.0378710027347574	0	0.0405493163343104	0	0.000822331884540865	0	0.0401994376451382	0.154460843248262	0.0802120912459915	0.26394761766216	0.0251085400437607	0	0.0236792514395256	0	0	0	0.089	0.119389426354432	1.03571210394443
TARGET.52.PADYCE.01	0.0987546553343065	0	0	0.0196094528805065	0	0.0362661849661346	0.0247245337379232	0.0297467055766472	0.0375956789915256	0.036708505988058	0	0.0278817886285277	0	0.349094414719031	0.011895752371243	0.325589267105687	0	0	0.00213305970040931	0	0	0	0.102	0.108462295746439	1.07553014945085
